filename,section,desktop_or_mobile,width,height,motif_family,interlock_notes,safe_zone_notes,status
assets/safe-zones/lwt-about-technology-desktop-safe-zones.png,Technology,desktop-safe-zone-preview,1440,720,"approved dark biosignal/technology background with abstract sensing/anatomy science accents, no floral",safe-zone overlay copy of approved clean section export,Technology card/text/media zone,exported
lwt-about-catalog-desktop.png,Catalog / supplement,desktop,1440,630,approved warm cream supplement/catalog background with subtle botanical accents only here,approved source art; no independent procedural art generated during slicing/preview step,Catalog card/product/support zone,exported
assets/safe-zones/lwt-about-catalog-desktop-safe-zones.png,Catalog / supplement,desktop-safe-zone-preview,1440,630,approved warm cream supplement/catalog background with subtle botanical accents only here,safe-zone overlay copy of approved clean section export,Catalog card/product/support zone,exported
lwt-about-final-cta-desktop.png,Final CTA,desktop,1440,658,"approved dark navy premium CTA background with restrained gold signal flow, no content",approved source art; no independent procedural art generated during slicing/preview step,CTA copy/button area,exported
assets/safe-zones/lwt-about-final-cta-desktop-safe-zones.png,Final CTA,desktop-safe-zone-preview,1440,658,"approved dark navy premium CTA background with restrained gold signal flow, no content",safe-zone overlay copy of approved clean section export,CTA copy/button area,exported
lwt-about-bg-mobile-master.png,full-page master,mobile,750,10737,approved art source stack,Hero/Story derived from approved combined interlock; lower pieces stacked in approved order,none,exported
lwt-about-hero-mobile.png,Hero,mobile,750,548,"approved combined Hero/Company Bio: deep navy wellness-science, molecule/hex/helix/orbit, one major interlocking signal wave",approved source art; no independent procedural art generated during slicing/preview step,Hero headline/copy/buttons; right consult image/media area,exported
lwt-about-story-mobile.png,Story / company bio,mobile,750,784,"approved combined Hero/Company Bio: warm cream company-bio field with molecule/orbit accents, no floral",approved source art; no independent procedural art generated during slicing/preview step,Left copy block; center timeline block; right image/card block,exported
lwt-about-trust-strip-mobile.png,Trust strip,mobile,750,1500,"approved dark trust support band with controlled signal/orbit accents, no proof content",approved source art; no independent procedural art generated during slicing/preview step,Full coded stat strip area,exported
lwt-about-practitioners-mobile.png,Meet the Practitioners,mobile,750,1581,"approved biotech/molecule/helix/health-science perimeter language, no floral",approved source art; no independent procedural art generated during slicing/preview step,Intro/header area; practitioner card row,exported
lwt-about-model-mobile.png,Living Well Today Model,mobile,750,1581,"approved warm cream systems background with central glow, orbit rail, organized science geometry, no floral",approved source art; no independent procedural art generated during slicing/preview step,Heading/copy area; model icon/process rail,exported
lwt-about-technology-mobile.png,Technology,mobile,750,1581,"approved dark biosignal/technology background with abstract sensing/anatomy science accents, no floral",approved source art; no independent procedural art generated during slicing/preview step,Technology card/text/media zone,exported
lwt-about-catalog-mobile.png,Catalog / supplement,mobile,750,1581,approved warm cream supplement/catalog background with subtle botanical accents only here,approved source art; no independent procedural art generated during slicing/preview step,Catalog card/product/support zone,exported
lwt-about-final-cta-mobile.png,Final CTA,mobile,750,1581,"approved dark navy premium CTA background with restrained gold signal flow, no content",approved source art; no independent procedural art generated during slicing/preview step,CTA copy/button area,exported
